업체명,구분,광역시도,시군구,주소,전화번호,유형별 블루핸즈
남가좌동부점,전문블루핸즈,서울특별시,서대문구,"서울특별시 서대문구 모래내로 255 (255-4추가)",02-304-9434,"전기차 수리"
남부하이테크센터,하이테크센터,서울특별시,동작구,"서울특별시 동작구 노량진로 53 대방동",02-890-9114,""
녹번서부점,전문블루핸즈,서울특별시,은평구,"서울특별시 은평구 통일로 661 (녹번동)",02-354-8186,"전기차 수리"
녹번점,전문블루핸즈,서울특별시,은평구,"서울특별시 은평구 진흥로 126 (녹번동)",02-389-0404,"전기차 수리; 전동차 기술력 우수"
능동점,전문블루핸즈,서울특별시,광진구,"서울특별시 광진구 능동로 247",02-444-3690,"전기차 수리"
답십리점,전문블루핸즈,서울특별시,동대문구,"서울특별시 동대문구 답십리로 229 (답십리동)",02-2243-6614,"전기차 수리"
당산현대서비스,종합블루핸즈,서울특별시,영등포구,"서울특별시 영등포구 양평로23길 4",02-2633-8888,"전기차 수리; 수소전기차 수리; CS 우수"
대교시트상사,종합블루핸즈,서울특별시,용산구,"서울특별시 용산구 원효로 107 (원효로3가)",02-715-1342,""
대림점,전문블루핸즈,서울특별시,영등포구,"서울특별시 영등포구 가마산로 374 (대림동)",02-831-0944,"전기차 수리"
대방점,전문블루핸즈,서울특별시,동작구,"서울특별시 동작구 상도로 12",02-817-0015,"전기차 수리; 전동차 기술력 우수"
도곡점(주),전문블루핸즈,서울특별시,강남구,"서울특별시 강남구 논현로57길 46 (도곡동)",02-3463-1988,"전기차 수리; 전동차 기술력 우수"
도림점,전문블루핸즈,서울특별시,영등포구,"서울특별시 영등포구 도신로 115 (도림동)",02-849-8272,"전기차 수리; 전동차 기술력 우수"
도봉동부현대서비스,종합블루핸즈,서울특별시,도봉구,"서울특별시 도봉구 도봉로140길 38 (창동)",02-900-8335,"전기차 수리; 차체/도장 수리 인증"
도봉서부현대서비스,종합블루핸즈,서울특별시,도봉구,"서울특별시 도봉구 도봉로136다길 32",02-903-3900,"전기차 수리; 전동차 기술력 우수; 차체/도장 수리 인증"
도봉점,전문블루핸즈,서울특별시,도봉구,"서울특별시 도봉구 도봉로180길 83-6 (도봉동)",02-931-8204,"전기차 수리"
독산점,전문블루핸즈,서울특별시,금천구,"서울특별시 금천구 범안로 1235 (독산동)",02-869-8204,"전기차 수리"
동부하이테크센터,하이테크센터,서울특별시,성동구,"서울특별시 성동구 성수이로 134 성수동2가",02-3408-8000,""
동심자동차(주),종합블루핸즈,서울특별시,강동구,"서울특별시 강동구 성내로 92 (성내동)",02-487-4191,"전기차 수리"
등촌점,전문블루핸즈,서울특별시,강서구,"서울특별시 강서구 화곡로63길 115 (등촌동)",02-3664-7784,"전기차 수리"
등촌현대서비스,종합블루핸즈,서울특별시,강서구,"서울특별시 강서구 공항대로59길 65",02-3662-1416,"전기차 수리; 전동차 기술력 우수"
롯데칠성신협양평분점,종합블루핸즈,서울특별시,영등포구,"서울특별시 영등포구 양평로24길 33(양평동5가)",02-2633-0771,"중형상용 수리"
마장동부현대서비스,종합블루핸즈,서울특별시,성동구,"서울특별시 성동구 고산자로 354",02-2292-0105,"전기차 수리"
마장현대서비스,종합블루핸즈,서울특별시,성동구,"서울특별시 성동구 마조로18길 2 (마장동)",02-2293-2020,"CS 우수"
면목동부점,전문블루핸즈,서울특별시,중랑구,"서울특별시 중랑구 동일로 596 (면목동)",02-491-8272,""
명일동부점,전문블루핸즈,서울특별시,강동구,"서울특별시 강동구 상암로 295 (명일동)",02-442-7784,"전동차 기술력 우수"
명일점,전문블루핸즈,서울특별시,강동구,"서울특별시 강동구 상암로 197",02-488-7784,"전기차 수리; 전동차 기술력 우수"
목동서부점,전문블루핸즈,서울특별시,양천구,"서울특별시 양천구 등촌로 128 (목동)",02-2653-7093,"전기차 수리"
문래현대서비스,종합블루핸즈,서울특별시,영등포구,"서울특별시 영등포구 경인로 780",02-2675-3000,"전기차 수리; 수소전기차 수리; 전동차 기술력 우수"
문정점,전문블루핸즈,서울특별시,송파구,"서울특별시 송파구 새말로 110 (문정동)",02-449-9021,"전기차 수리; 전동차 기술력 우수"
미아점,전문블루핸즈,서울특별시,강북구,"서울특별시 강북구 솔샘로 303 (미아동)",02-945-8204,"전기차 수리; 전동차 기술력 우수"
방배동부점,전문블루핸즈,서울특별시,서초구,"서울특별시 서초구 효령로 57 (방배동)",02-3486-8204,"전기차 수리"
방배중부점,전문블루핸즈,서울특별시,서초구,"서울특별시 서초구 서초대로 82 (방배동)",02-3487-8204,"전기차 수리; 전동차 기술력 우수"
방배현대서비스,종합블루핸즈,서울특별시,서초구,"서울특별시 서초구 과천대로 904",02-525-8711,"전기차 수리; 전동차 기술력 우수"
방이점,전문블루핸즈,서울특별시,송파구,"서울특별시 송파구 오금로27길 49 (방이동)",02-415-8272,"전기차 수리"
방이현대서비스,종합블루핸즈,서울특별시,송파구,"서울특별시 송파구 백제고분로51길 27",02-424-1181,"전기차 수리"
방화점,전문블루핸즈,서울특별시,강서구,"서울특별시 강서구 양천로 59 (방화동)",02-2662-8355,"전기차 수리; 전동차 기술력 우수"
북가좌점,전문블루핸즈,서울특별시,서대문구,"서울특별시 서대문구 수색로 145 (북가좌동)",02-308-9993,"전기차 수리; 전동차 기술력 우수"
북부하이테크센터,하이테크센터,서울특별시,도봉구,"서울특별시 도봉구 방학로 76 방학동",02-3499-8300,""
불광점,전문블루핸즈,서울특별시,은평구,"서울특별시 은평구 연서로 303 (불광동)",02-355-0404,"전기차 수리"
비케이프라임산업(주),종합블루핸즈,서울특별시,금천구,"서울특별시 금천구 범안로 17길67",02-858-4729,"전기차 수리"
상계서부점,전문블루핸즈,서울특별시,노원구,"서울특별시 노원구 수락산로 57 (상계동)",02-930-8202,"전기차 수리"
상도점,전문블루핸즈,서울특별시,동작구,"서울특별시 동작구 상도로 386",02-822-4331,"전기차 수리"
상도중앙점,전문블루핸즈,서울특별시,동작구,"서울특별시 동작구 상도로 226",02-813-8204,"전기차 수리; CS 우수"
상암현대서비스,종합블루핸즈,서울특별시,마포구,"서울특별시 마포구 모래내로3길 19",02-374-6437,"전기차 수리; 수소전기차 수리"
서울숲현대서비스,종합블루핸즈,서울특별시,성동구,"서울특별시 성동구 왕십리로16길 26 (성수동 1가)",02-464-1885,"전동차 기술력 우수"
서울자동차서비스,종합블루핸즈,서울특별시,강남구,"서울특별시 강남구 선릉로93길 46 (역삼동)",02-554-2085,"전기차 수리"
서초남부점,전문블루핸즈,서울특별시,서초구,"서울특별시 서초구 서초대로53길 16 (서초동)",02-593-7799,"전기차 수리"
서초동부점,전문블루핸즈,서울특별시,서초구,"서울특별시 서초구 서초대로42길 55(서초동)",02-525-9797,"전기차 수리"
서초서부점,전문블루핸즈,서울특별시,서초구,"서울특별시 서초구 서운로 14 (서초동)",02-585-8204,"전기차 수리"
석촌점,전문블루핸즈,서울특별시,송파구,"서울특별시 송파구 송파대로39길 6(석촌동)",02-421-4087,"전기차 수리; 수소전기차 수리"
석촌현대자동차서비스,종합블루핸즈,서울특별시,송파구,"서울특별시 송파구 백제고분로39길 40 (석촌동)",02-413-0117,"전기차 수리"
선진자동차공업㈜서초점,종합블루핸즈,서울특별시,서초구,"서울특별시 서초구 반포대로18길 48 (서초동)",02-3472-3796,"전동차 기술력 우수"
성북삼선교점,전문블루핸즈,서울특별시,성북구,"서울특별시 성북구 성북로 38 (성북동)",02-763-8204,"전기차 수리; 전동차 기술력 우수"
송파현대써비스,종합블루핸즈,서울특별시,송파구,"서울특별시 송파구 송이로32길 38 (문정동)",02-431-6586,"전기차 수리; CS 우수"
수유중부점,전문블루핸즈,서울특별시,강북구,"서울특별시 강북구 인수봉로 183(수유동)",02-933-8204,"전기차 수리"
신길남부점,전문블루핸즈,서울특별시,영등포구,"서울특별시 영등포구 신길로 65-1",02-842-2715,"전기차 수리; 전동차 기술력 우수"
신내점,전문블루핸즈,서울특별시,중랑구,"서울특별시 중랑구 봉화산로 226(신내동)",02-495-8664,"전기차 수리; 전동차 기술력 우수"
신목로점,전문블루핸즈,서울특별시,양천구,"서울특별시 양천구 신목로 26 (신정동)",02-2654-8000,"전기차 수리"
신사점(주),전문블루핸즈,서울특별시,강남구,"서울특별시 강남구 압구정로4길 14 (신사동)",02-515-8161,"전기차 수리"
신월대형점,전문블루핸즈,서울특별시,양천구,"서울특별시 양천구 남부순환로 563 (신월동)",02-2607-4343,"전동차 기술력 우수; 중형상용 수리; 대형상용 수리"
신월중부점,전문블루핸즈,서울특별시,양천구,"서울특별시 양천구 오목로 13 (신월동)",02-2603-7784,"전기차 수리; 전동차 기술력 우수"
신정서부점,전문블루핸즈,서울특별시,양천구,"서울특별시 양천구 목동남로 72 (신정동)",02-2652-8271,"전기차 수리; 전동차 기술력 우수"
신정중부점,전문블루핸즈,서울특별시,양천구,"서울특별시 양천구 신정중앙로 40 (신정동)",02-2695-8201,"전기차 수리; 전동차 기술력 우수"
쌍문점,전문블루핸즈,서울특별시,도봉구,"서울특별시 도봉구 도당로 22 (쌍문동)",02-902-3827,"전기차 수리; 전동차 기술력 우수"
안암점,전문블루핸즈,서울특별시,성북구,"서울특별시 성북구 안암로 107 (안암동5가)",02-922-0700,"전기차 수리"
양재남부점,전문블루핸즈,서울특별시,서초구,"서울특별시 서초구 마방로 36 (양재동)",02-576-0097,"전기차 수리"
양재동부점,전문블루핸즈,서울특별시,서초구,"서울특별시 서초구 바우뫼로 187 (양재동)",02-573-5872,"전기차 수리; 전동차 기술력 우수"
양재북부점,전문블루핸즈,서울특별시,서초구,"서울특별시 서초구 강남대로18길 16-12 (양재동)",02-529-8214,"전기차 수리; 전동차 기술력 우수"
양재점,전문블루핸즈,서울특별시,서초구,"서울특별시 서초구 매헌로 50 (양재동)",02-529-8272,"전기차 수리; 전동차 기술력 우수"
양재중부점,전문블루핸즈,서울특별시,서초구,"서울특별시 서초구 강남대로4길 5 (양재동)",02-578-1331,"전기차 수리"
양재현대서비스,종합블루핸즈,서울특별시,서초구,"서울특별시 서초구 남부순환로342길 100-9(양재동)",02-572-4665,"전기차 수리; 수소전기차 수리; 전동차 기술력 우수; CS 우수"
양평서부점,전문블루핸즈,서울특별시,영등포구,"서울특별시 영등포구 선유로 164 (양평동3가)",02-2675-8204,"전기차 수리"
역삼남부점,전문블루핸즈,서울특별시,강남구,"서울특별시 강남구 봉은사로 234 (역삼동)",02-555-8272,"전기차 수리; 수소전기차 수리; 전동차 기술력 우수"
역삼현대서비스,종합블루핸즈,서울특별시,강남구,"서울특별시 강남구 역삼로 238(역삼동)",02-561-9830,"전기차 수리"
연희점,전문블루핸즈,서울특별시,서대문구,"서울특별시 서대문구 연희맛로 3-1 (연희동)",02-332-8204,"전기차 수리; 전동차 기술력 우수"
열쇠콜,종합블루핸즈,서울특별시,강서구,"서울특별시 강서구 강서로45길 19(화곡동)",000-1588-1313,""
염창점,전문블루핸즈,서울특별시,강서구,"서울특별시 강서구 양천로 721 (염창동)",02-3663-7788,"전기차 수리"
영등포점,전문블루핸즈,서울특별시,영등포구,"서울특별시 영등포구 국회대로 663-1 (영등포동7가)",02-2677-8204,"전기차 수리; 전동차 기술력 우수"
영원자동차공업(주),종합블루핸즈,서울특별시,도봉구,"서울특별시 도봉구 도봉로136길 49(창동)",02-908-9700,"중형상용 수리; 대형상용 수리"
오류점,전문블루핸즈,서울특별시,구로구,"서울특별시 구로구 서해안로 2239 (오류동)",02-2614-9933,""
오토바디모터스,종합블루핸즈,서울특별시,영등포구,"서울특별시 영등포구 양평로21길 16 (양평동5가)",02-2676-4441,"전기차 수리; 전동차 기술력 우수; 차체/도장 수리 인증"
옥수점,전문블루핸즈,서울특별시,성동구,"서울특별시 성동구 독서당로 177 (옥수동)",02-2281-8204,"전기차 수리"
온수점,전문블루핸즈,서울특별시,구로구,"서울특별시 구로구 부일로 847 (온수동)",02-2066-3900,"전기차 수리; 전동차 기술력 우수"
왕십리역현대서비스,종합블루핸즈,서울특별시,성동구,"서울특별시 성동구 고산자로 224",02-2293-0626,"전기차 수리; 수소전기차 수리; 차체/도장 수리 인증"
우면현대서비스,종합블루핸즈,서울특별시,서초구,"서울특별시 서초구 형촌2길 26",02-543-3700,""
원효로점,전문블루핸즈,서울특별시,용산구,"서울특별시 용산구 효창원로 28",02-712-7100,"전기차 수리"
월곡점,전문블루핸즈,서울특별시,성북구,"서울특별시 성북구 화랑로 183 (상월곡동)",02-943-8204,"전기차 수리; 전동차 기술력 우수"
율현현대서비스,종합블루핸즈,서울특별시,강남구,"서울특별시 강남구 헌릉로757길 53",02-420-3030,"전기차 수리"
응암점,전문블루핸즈,서울특별시,은평구,"서울특별시 은평구 응암로12길 23-9 (응암동)",02-354-4614,"전기차 수리"
이문점,전문블루핸즈,서울특별시,동대문구,"서울특별시 동대문구 이문로 79 (이문동)",02-968-4413,""
일원점,전문블루핸즈,서울특별시,강남구,"서울특별시 강남구 개포로140길 18 (일원동)",02-3411-1538,"전기차 수리; 전동차 기술력 우수"
자하문로점,전문블루핸즈,서울특별시,종로구,"서울특별시 종로구 자하문로 256(부암동)",02-3217-8204,"전기차 수리; 전동차 기술력 우수"
잠원점,전문블루핸즈,서울특별시,서초구,"서울특별시 서초구 신반포로23길 78-9 1층",02-599-2288,"전기차 수리"
장안점,전문블루핸즈,서울특별시,동대문구,"서울특별시 동대문구 장한로 202 (장안동)",02-2214-8204,"전기차 수리"
전농로점,전문블루핸즈,서울특별시,동대문구,"서울특별시 동대문구 전농로 26 전농로점현대자동차블루핸즈",02-2249-8204,"전기차 수리"
정일현대자동차정비공업(주),종합블루핸즈,서울특별시,영등포구,"서울특별시 영등포구 선유로 103",02-2633-8611,"전기차 수리; 전동차 기술력 우수"
제이에스모터스,종합블루핸즈,서울특별시,구로구,"서울특별시 구로구 가마산로 77 (구로동)",02-851-0003,"전기차 수리"
종로옥인점,전문블루핸즈,서울특별시,종로구,"서울특별시 종로구 자하문로 73 (옥인동)",02-738-8204,"전기차 수리"
종로와룡점,전문블루핸즈,서울특별시,종로구,"서울특별시 종로구 돈화문로 83 (와룡동)",02-765-1557,""
종로필운점,전문블루핸즈,서울특별시,종로구,"서울특별시 종로구 사직로8길 3 (필운동)",02-725-8204,"전기차 수리"
중계점,전문블루핸즈,서울특별시,노원구,"서울특별시 노원구 노원로26길 31",02-905-8204,"전기차 수리"
중곡점,전문블루핸즈,서울특별시,광진구,"서울특별시 광진구 긴고랑로 86 (중곡동)",02-3436-8204,"전기차 수리; 전동차 기술력 우수"
중앙로점,전문블루핸즈,서울특별시,양천구,"서울특별시 양천구 중앙로 229",02-2642-8200,"전기차 수리; 전동차 기술력 우수"
중화점,전문블루핸즈,서울특별시,중랑구,"서울특별시 중랑구 동일로 828 (중화동)",02-496-9972,"전기차 수리; 전동차 기술력 우수"
창동북부점(주),전문블루핸즈,서울특별시,도봉구,"서울특별시 도봉구 도봉로 562(창동)",02-998-8204,"전기차 수리"
창동점,전문블루핸즈,서울특별시,도봉구,"서울특별시 도봉구 도봉로 530 (창동)",02-997-8204,"전기차 수리; 전동차 기술력 우수"
창전점,전문블루핸즈,서울특별시,마포구,"서울특별시 마포구 서강로9길 40 (창전동)",02-332-8201,"전기차 수리"
천호동부점,전문블루핸즈,서울특별시,강동구,"서울특별시 강동구 올림픽로 701 (천호동)",02-484-1192,"전기차 수리"
청담로데오점,전문블루핸즈,서울특별시,강남구,"서울특별시 강남구 선릉로152길 16 1층",02-543-6807,"전기차 수리"
청파로점,전문블루핸즈,서울특별시,용산구,"서울특별시 용산구 청파로 353(서계동)",02-713-1336,"전기차 수리"
충정로점,전문블루핸즈,서울특별시,서대문구,"서울특별시 서대문구 경기대로9길 70 (충정로3가)",02-313-8204,"전기차 수리; 전동차 기술력 우수"
풍납점,전문블루핸즈,서울특별시,송파구,"서울특별시 송파구 토성로 49 (풍납동)",02-487-7814,"전기차 수리; 전동차 기술력 우수"
현대강남자동차써비스(주),종합블루핸즈,서울특별시,서초구,"서울특별시 서초구 마방로 26 (양재동)",02-575-1900,"전기차 수리; 수소전기차 수리"
현대하이카손해사정(주),종합블루핸즈,서울특별시,송파구,"서울특별시 송파구 송파대로 570 3층(신천동,타워730)",02-554-5656,""
홍제점,전문블루핸즈,서울특별시,서대문구,"서울특별시 서대문구 홍제내길 76",02-6083-8200,"전기차 수리"
화곡남부점,전문블루핸즈,서울특별시,강서구,"서울특별시 강서구 까치산로 165 (화곡동)",02-2604-8227,"전기차 수리"
화영공업,종합블루핸즈,서울특별시,성동구,"서울특별시 성동구 자동차시장1길 94-25 (용답동)",02-2249-2148,"전기차 수리"
황학남부점,전문블루핸즈,서울특별시,중구,"서울특별시 중구 난계로 177 (황학동)",02-2233-8201,"전기차 수리"
황학점,전문블루핸즈,서울특별시,중구,"서울특별시 중구 난계로19길 2 (황학동)",02-2235-8204,"전기차 수리"
